Biological Process	Number of genes
regulation of extrinsic apoptotic signaling pathway via death domain receptors	2
regulation of sodium ion transmembrane transport	2
phagocytosis, recognition	2
negative regulation of cell-substrate adhesion	2
regulation of toll-like receptor signaling pathway	2
insulin secretion involved in cellular response to glucose stimulus	2
positive regulation of fat cell differentiation	2
muscle fiber development	2
cellular response to calcium ion	2
cellular response to nutrient	2
glomerulus development	2
axoneme assembly	2
transport of virus	2
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	2
long-chain fatty acid transport	2
lymphocyte homeostasis	2
signal transduction involved in mitotic G1 DNA damage checkpoint	2
intracellular signal transduction involved in G1 DNA damage checkpoint	2
embryonic pattern specification	2
O-glycan processing	2
ovulation cycle	2
response to cadmium ion	2
positive regulation of lipid biosynthetic process	2
centrosome duplication	2
respiratory gaseous exchange	2
macrophage activation	2
regulation of glial cell differentiation	2
signal transduction involved in mitotic cell cycle checkpoint	2
positive regulation of protein localization to nucleus	2
signal transduction involved in mitotic DNA damage checkpoint	2
signal transduction involved in mitotic DNA integrity checkpoint	2
positive regulation of organelle assembly	2
somatic diversification of immune receptors	2
lysosome localization	2
interleukin-1 beta production	2
regulation of multicellular organism growth	2
multi-organism behavior	2
negative regulation of ERK1 and ERK2 cascade	2
cilium movement	2
positive regulation of insulin secretion	2
response to axon injury	2
regulation of defense response to virus	2
nitric oxide biosynthetic process	2
miRNA mediated inhibition of translation	2
negative regulation of translation, ncRNA-mediated	2
regulation of translation, ncRNA-mediated	2
carbohydrate derivative transport	2
transmission of nerve impulse	2
regulation of vesicle fusion	2
NAD metabolic process	2
negative regulation of ossification	2
mitotic G1 DNA damage checkpoint	2
ribosomal large subunit biogenesis	2
mitotic G1/S transition checkpoint	2
import across plasma membrane	2
regulation of interleukin-1 production	2
G1 DNA damage checkpoint	2
RNA phosphodiester bond hydrolysis, endonucleolytic	2
regulation of DNA recombination	2
cell-substrate adherens junction assembly	2
glutamine family amino acid metabolic process	2
cell-cell recognition	2
positive regulation of type I interferon production	2
CD4-positive, alpha-beta T cell activation	2
nitric oxide metabolic process	2
focal adhesion assembly	2
regulation of smooth muscle cell migration	2
regulation of chemokine production	2
positive regulation of interleukin-6 production	2
multi-organism transport	2
regulation of alpha-beta T cell activation	2
multi-organism localization	2
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	2
hippocampus development	2
negative regulation of transforming growth factor beta receptor signaling pathway	2
negative regulation of mRNA metabolic process	2
negative regulation of sprouting angiogenesis	2
positive regulation of lipid localization	2
glycogen metabolic process	2
reactive nitrogen species metabolic process	2
cellular glucan metabolic process	2
double-strand break repair via nonhomologous end joining	2
glucan metabolic process	2
negative regulation of cellular response to transforming growth factor beta stimulus	2
regulation of blood coagulation	2
antigen processing and presentation of exogenous peptide antigen via MHC class I	2
regulation of stress fiber assembly	2
cellular response to mechanical stimulus	2
regulation of hemostasis	2
positive regulation of neuron death	2
oligosaccharide metabolic process	2
regulation of calcium-mediated signaling	2
protein homotetramerization	2
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2
chemokine production	2
regulation of potassium ion transmembrane transport	2
interleukin-1 production	2
retrograde transport, endosome to Golgi	2
intrinsic apoptotic signaling pathway by p53 class mediator	2
regulation of muscle cell apoptotic process	2
regulation of coagulation	2
execution phase of apoptosis	2
regulation of reactive oxygen species biosynthetic process	2
regulation of sodium ion transport	2
positive regulation of ossification	2
substrate adhesion-dependent cell spreading	2
microtubule bundle formation	2
muscle cell apoptotic process	2
mitochondrial translational elongation	2
synaptic vesicle exocytosis	2
positive regulation of cell cycle arrest	2
regulation of actomyosin structure organization	2
contractile actin filament bundle assembly	2
stress fiber assembly	2
mitochondrial translational termination	2
regulation of actin filament bundle assembly	2
response to vitamin	2
regulation of neurotransmitter transport	2
positive regulation of plasma membrane bounded cell projection assembly	2
positive regulation of peptide hormone secretion	2
cellular response to hydrogen peroxide	2
antigen processing and presentation of peptide antigen via MHC class I	2
regulation of cellular pH	2
female gonad development	2
protein deacetylation	2
neurotransmitter biosynthetic process	2
cellular polysaccharide metabolic process	2
plasma membrane invagination	2
regulation of DNA repair	2
fatty acid oxidation	2
positive regulation of endothelial cell proliferation	2
actin cytoskeleton reorganization	2
regulation of potassium ion transport	2
development of primary female sexual characteristics	2
translational termination	2
regulation of pH	2
lipid oxidation	2
positive regulation of muscle cell differentiation	2
regulation of protein localization to nucleus	2
histone lysine methylation	2
establishment of protein localization to endoplasmic reticulum	2
regulation of cell-matrix adhesion	2
smooth muscle contraction	2
membrane invagination	2
positive regulation of cell-substrate adhesion	2
regulation of complement activation	2
mitotic DNA damage checkpoint	2
feeding behavior	2
regulation of protein activation cascade	2
negative regulation of cell cycle G2/M phase transition	2
fatty acid catabolic process	2
polysaccharide metabolic process	2
regulation of interleukin-6 production	2
myotube differentiation	2
mitotic DNA integrity checkpoint	2
cellular monovalent inorganic cation homeostasis	2
regulation of osteoblast differentiation	2
alpha-beta T cell activation	2
regulation of mRNA processing	2
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	2
interleukin-6 production	2
regulation of RNA splicing	2
regulation of type I interferon production	2
insulin receptor signaling pathway	2
type I interferon production	2
NIK/NF-kappaB signaling	2
cellular amine metabolic process	2
positive regulation of hormone secretion	2
regulation of T cell differentiation	2
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	2
mitochondrial translation	2
regulation of tube diameter	2
regulation of blood vessel diameter	2
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	2
Fc-gamma receptor signaling pathway involved in phagocytosis	2
monocarboxylic acid catabolic process	2
biomineral tissue development	2
toll-like receptor signaling pathway	2
amine metabolic process	2
Fc-gamma receptor signaling pathway	2
Fc receptor mediated stimulatory signaling pathway	2
negative regulation of neuron apoptotic process	2
spermatid development	2
neuron migration	2
actin filament bundle assembly	2
nucleus organization	2
spermatid differentiation	2
single fertilization	2
positive regulation of mitotic cell cycle	2
actin filament bundle organization	2
DNA-dependent DNA replication	2
regulation of epithelial cell differentiation	2
ERBB signaling pathway	2
regulation of lymphocyte differentiation	2
mitotic cell cycle checkpoint	2
tissue remodeling	2
cellular response to lipopolysaccharide	2
meiotic nuclear division	2
electron transport chain	2
cellular response to molecule of bacterial origin	2
fertilization	2
cellular respiration	2
regeneration	2
cellular modified amino acid metabolic process	2
cellular response to biotic stimulus	2
positive regulation of oxidative stress-induced cell death	2
positive regulation of cellular response to oxidative stress	2
positive regulation of response to oxidative stress	2
positive regulation of B cell mediated immunity	2
positive regulation of immunoglobulin mediated immune response	2
bone cell development	2
heart valve morphogenesis	2
positive regulation of immunoglobulin production	2
muscle filament sliding	2
actin-myosin filament sliding	2
heart valve development	2
mRNA polyadenylation	2
RNA polyadenylation	2
negative regulation of tumor necrosis factor production	2
positive regulation of Ras protein signal transduction	2
negative regulation of tumor necrosis factor superfamily cytokine production	2
positive regulation of small GTPase mediated signal transduction	2
regulation of osteoclast differentiation	2
osteoclast differentiation	2
regulation of myeloid leukocyte differentiation	2
B cell differentiation	2
single strand break repair	1
protein deneddylation	1
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
luteinization	1
neural plate development	1
positive regulation of inflammatory response to antigenic stimulus	1
desmosome organization	1
tryptophan catabolic process	1
foregut morphogenesis	1
magnesium ion homeostasis	1
regulation of translational initiation by eIF2 alpha phosphorylation	1
cell proliferation in external granule layer	1
cerebellar granule cell precursor proliferation	1
production of siRNA involved in RNA interference	1
luteinizing hormone secretion	1
regulation of prostaglandin secretion	1
positive regulation of prostaglandin secretion	1
transforming growth factor beta1 production	1
regulation of transforming growth factor beta1 production	1
protein hexamerization	1
peptidyl-arginine omega-N-methylation	1
endothelial cell chemotaxis to fibroblast growth factor	1
MDA-5 signaling pathway	1
indole-containing compound catabolic process	1
retinal cone cell differentiation	1
drinking behavior	1
long-chain fatty acid catabolic process	1
snoRNA processing	1
negative regulation of striated muscle contraction	1
adenosine metabolic process	1
indolalkylamine catabolic process	1
protoporphyrinogen IX metabolic process	1
retinal cone cell development	1
inositol phosphate dephosphorylation	1
paraxial mesoderm morphogenesis	1
synaptic growth at neuromuscular junction	1
membrane raft localization	1
negative regulation of fibrinolysis	1
negative regulation of amino acid transport	1
negative regulation of necroptotic process	1
dichotomous subdivision of an epithelial terminal unit	1
lung secretory cell differentiation	1
regulation of type B pancreatic cell proliferation	1
secondary palate development	1
kynurenine metabolic process	1
uterine smooth muscle contraction	1
negative regulation of protein exit from endoplasmic reticulum	1
otic vesicle morphogenesis	1
cell proliferation involved in metanephros development	1
fibroblast activation	1
dendritic cell apoptotic process	1
xenophagy	1
regulation of adenylate cyclase-activating G-protein coupled receptor signaling pathway	1
positive regulation of response to reactive oxygen species	1
regulation of interferon-gamma secretion	1
regulation of dopaminergic neuron differentiation	1
regulation of endothelial cell chemotaxis to fibroblast growth factor	1
regulation of T-helper 2 cell cytokine production	1
regulation of dendritic cell apoptotic process	1
negative regulation of mesenchymal cell apoptotic process	1
regulation of dendritic cell differentiation	1
chondrocyte differentiation involved in endochondral bone morphogenesis	1
lagging strand elongation	1
carnitine shuttle	1
midgut development	1
embryonic body morphogenesis	1
peptidyl-glutamic acid carboxylation	1
protein carboxylation	1
cell proliferation in hindbrain	1
hemidesmosome assembly	1
natural killer cell chemotaxis	1
cell chemotaxis to fibroblast growth factor	1
xenobiotic catabolic process	1
positive regulation of tumor necrosis factor biosynthetic process	1
response to ether	1
negative regulation of activated T cell proliferation	1
phosphorylated carbohydrate dephosphorylation	1
enteric nervous system development	1
bronchus development	1
regulation of gastric acid secretion	1
epithelial cell proliferation involved in prostate gland development	1
positive regulation of myeloid leukocyte cytokine production involved in immune response	1
neuron cellular homeostasis	1
positive regulation of monocyte chemotactic protein-1 production	1
positive regulation of podosome assembly	1
protein localization to cell cortex	1
mRNA methylation	1
AV node cell action potential	1
AV node cell to bundle of His cell signaling	1
regulation of synapse maturation	1
regulation of phosphorylation of RNA polymerase II C-terminal domain	1
negative regulation of pri-miRNA transcription by RNA polymerase II	1
response to forskolin	1
cellular response to forskolin	1
regulation of GTP binding	1
regulation of cell chemotaxis to fibroblast growth factor	1
regulation of RNA binding	1
regulation of mesoderm formation	1
regulation of microtubule motor activity	1
positive regulation of autophagosome assembly	1
regulation of acute inflammatory response to antigenic stimulus	1
cardiac chamber formation	1
Wnt signaling pathway involved in heart development	1
mitochondrial DNA replication	1
L-serine metabolic process	1
tryptophan metabolic process	1
opsonization	1
intracellular mRNA localization	1
2'-deoxyribonucleotide biosynthetic process	1
regulation of plasminogen activation	1
positive regulation of fibroblast migration	1
regulation of macrophage cytokine production	1
neural crest formation	1
skeletal myofibril assembly	1
rostrocaudal neural tube patterning	1
positive regulation of protein import into nucleus, translocation	1
maintenance of sister chromatid cohesion	1
maintenance of mitotic sister chromatid cohesion	1
sperm chromatin condensation	1
peptidyl-arginine N-methylation	1
angiotensin-activated signaling pathway	1
negative regulation of vascular permeability	1
response to leucine	1
engulfment of apoptotic cell	1
positive regulation of vacuole organization	1
negative regulation by host of viral process	1
positive regulation of regulatory T cell differentiation	1
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly	1
deoxyribose phosphate biosynthetic process	1
S-adenosylmethionine metabolic process	1
astrocyte activation	1
DNA ligation involved in DNA repair	1
maintenance of organelle location	1
response to redox state	1
positive regulation of hair follicle development	1
L-glutamate import	1
regulation of ER to Golgi vesicle-mediated transport	1
trophoblast giant cell differentiation	1
prostate gland growth	1
trophoblast cell migration	1
response to platelet aggregation inhibitor	1
cellular response to electrical stimulus	1
inositol phosphate catabolic process	1
AV node cell to bundle of His cell communication	1
type B pancreatic cell apoptotic process	1
negative regulation of transcription from RNA polymerase II promoter in response to stress	1
positive regulation of execution phase of apoptosis	1
regulation of trophoblast cell migration	1
positive regulation of tumor necrosis factor secretion	1
regulation of cell-cell adhesion mediated by cadherin	1
positive regulation of gastrulation	1
negative regulation of sodium ion transmembrane transporter activity	1
regulation of mesenchymal cell apoptotic process	1
regulation of respiratory gaseous exchange by neurological system process	1
negative regulation of B cell apoptotic process	1
cardiac conduction system development	1
mesenchymal to epithelial transition involved in metanephros morphogenesis	1
glycine metabolic process	1
insemination	1
vitamin catabolic process	1
cerebellar granular layer development	1
glial cell fate commitment	1
telencephalon regionalization	1
cellular anion homeostasis	1
pancreatic juice secretion	1
cellular monovalent inorganic anion homeostasis	1
positive regulation of actin filament depolymerization	1
positive regulation of myelination	1
prostaglandin secretion	1
positive regulation of granulocyte macrophage colony-stimulating factor production	1
regulation of histone phosphorylation	1
stress granule assembly	1
histone arginine methylation	1
positive regulation of chromatin binding	1
T-helper 2 cell cytokine production	1
positive regulation of urine volume	1
alpha-linolenic acid metabolic process	1
positive regulation of hair cycle	1
histone H3-K9 acetylation	1
positive regulation by host of viral process	1
establishment of epithelial cell apical/basal polarity	1
cardiac muscle fiber development	1
membrane hyperpolarization	1
regulation of growth hormone secretion	1
ganglion development	1
lens fiber cell development	1
striated muscle myosin thick filament assembly	1
cellular response to epinephrine stimulus	1
cargo loading into COPII-coated vesicle	1
mesenchymal cell apoptotic process	1
activation of cysteine-type endopeptidase activity	1
negative regulation of substrate adhesion-dependent cell spreading	1
regulation of transcription from RNA polymerase II promoter involved in heart development	1
regulation of hydrogen peroxide-mediated programmed cell death	1
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1
negative regulation of sodium ion transmembrane transport	1
protein localization to postsynaptic membrane	1
negative regulation of protein localization to cell surface	1
positive regulation of protein localization to cell surface	1
regulation of female gonad development	1
regulation of hepatocyte proliferation	1
positive regulation of endothelial cell chemotaxis	1
regulation of integrin-mediated signaling pathway	1
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
acrosome assembly	1
neutrophil homeostasis	1
positive regulation of T cell cytokine production	1
heart valve formation	1
mitochondrial transcription	1
negative regulation of keratinocyte proliferation	1
positive regulation of steroid biosynthetic process	1
macrophage cytokine production	1
snoRNA metabolic process	1
thalamus development	1
male sex determination	1
myosin filament assembly	1
negative regulation of response to extracellular stimulus	1
negative regulation of response to nutrient levels	1
vitamin transmembrane transport	1
CD8-positive, alpha-beta T cell activation	1
neuronal stem cell division	1
erythrocyte maturation	1
regulation of secondary metabolic process	1
regulation of translational initiation in response to stress	1
dicarboxylic acid biosynthetic process	1
IMP metabolic process	1
negative regulation of glucose import	1
positive regulation of astrocyte differentiation	1
induction of positive chemotaxis	1
Golgi localization	1
regulation of fibrinolysis	1
neuroblast division	1
Sertoli cell development	1
negative regulation of glial cell proliferation	1
regulation of respiratory burst	1
negative regulation of necrotic cell death	1
positive regulation of T cell apoptotic process	1
glomerular mesangium development	1
positive regulation of metanephros development	1
signal transduction involved in G2 DNA damage checkpoint	1
regulation of sphingolipid biosynthetic process	1
positive regulation of endoplasmic reticulum unfolded protein response	1
regulation of IRE1-mediated unfolded protein response	1
regulation of membrane lipid metabolic process	1
positive regulation of metallopeptidase activity	1
adaptive thermogenesis	1
regulation of ceramide biosynthetic process	1
endonucleolytic cleavage involved in rRNA processing	1
positive regulation of T cell mediated cytotoxicity	1
G-protein coupled receptor internalization	1
germinal center formation	1
regulation of cytokine secretion involved in immune response	1
positive regulation of T-helper 1 type immune response	1
positive regulation of type 2 immune response	1
positive regulation of humoral immune response	1
serotonin transport	1
tripartite regional subdivision	1
anterior/posterior axis specification, embryo	1
coenzyme catabolic process	1
deoxyribonucleotide biosynthetic process	1
hydrogen peroxide-mediated programmed cell death	1
negative regulation of sodium ion transport	1
regulation of skeletal muscle adaptation	1
protein-chromophore linkage	1
myosin filament organization	1
gonadotropin secretion	1
regulation of granulocyte macrophage colony-stimulating factor production	1
positive regulation of interleukin-13 production	1
fatty acid beta-oxidation using acyl-CoA oxidase	1
protein folding in endoplasmic reticulum	1
cellular response to interferon-beta	1
glucocorticoid receptor signaling pathway	1
histone H4-K5 acetylation	1
histone H4-K8 acetylation	1
regulation of RNA polymerase II transcriptional preinitiation complex assembly	1
regulation of short-term neuronal synaptic plasticity	1
negative regulation of dendrite morphogenesis	1
detection of temperature stimulus involved in sensory perception	1
detection of temperature stimulus involved in sensory perception of pain	1
positive regulation of membrane protein ectodomain proteolysis	1
convergent extension	1
cellular response to exogenous dsRNA	1
regulation of podosome assembly	1
programmed cell death in response to reactive oxygen species	1
regulation of extracellular matrix assembly	1
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1
negative regulation of stem cell proliferation	1
renal system process involved in regulation of blood volume	1
epithelial cell maturation	1
negative regulation of leukocyte chemotaxis	1
ubiquinone biosynthetic process	1
mitotic chromosome condensation	1
mitotic centrosome separation	1
segment specification	1
parturition	1
regulation of norepinephrine secretion	1
prostaglandin transport	1
peptidyl-arginine methylation	1
hyaluronan catabolic process	1
growth hormone secretion	1
negative regulation of B cell proliferation	1
synaptic vesicle fusion to presynaptic active zone membrane	1
positive regulation of nuclease activity	1
Cdc42 protein signal transduction	1
granulocyte macrophage colony-stimulating factor production	1
negative regulation of interleukin-12 production	1
positive regulation of CREB transcription factor activity	1
negative regulation of myeloid cell apoptotic process	1
megakaryocyte development	1
protein O-linked fucosylation	1
negative regulation of JUN kinase activity	1
nose development	1
ossification involved in bone maturation	1
regulation of respiratory system process	1
mitochondrion distribution	1
regulation of retinoic acid receptor signaling pathway	1
lymph node development	1
neuromuscular process controlling posture	1
negative regulation of meiotic cell cycle	1
negative regulation of lipase activity	1
venous blood vessel development	1
heterochromatin organization	1
regulation of phospholipid biosynthetic process	1
response to epinephrine	1
metanephric renal vesicle morphogenesis	1
hepatocyte proliferation	1
epithelial cell proliferation involved in liver morphogenesis	1
vesicle fusion to plasma membrane	1
quinone biosynthetic process	1
negative regulation of anoikis	1
gastric acid secretion	1
regulation of antigen processing and presentation	1
negative regulation of T cell mediated immunity	1
indolalkylamine metabolic process	1
ubiquinone metabolic process	1
grooming behavior	1
serine family amino acid biosynthetic process	1
deoxyribonucleoside triphosphate metabolic process	1
dorsal/ventral axis specification	1
negative regulation of bone mineralization	1
corticosteroid receptor signaling pathway	1
negative regulation of protein oligomerization	1
regulation of toll-like receptor 4 signaling pathway	1
activation of protein kinase A activity	1
negative regulation of histone acetylation	1
establishment of apical/basal cell polarity	1
inner dynein arm assembly	1
cellular response to sterol	1
post-anal tail morphogenesis	1
regulation of RIG-I signaling pathway	1
norepinephrine secretion	1
centrosome separation	1
cilium movement involved in cell motility	1
morphogenesis of an epithelial bud	1
coronary vasculature morphogenesis	1
phosphorylation of RNA polymerase II C-terminal domain	1
monocyte chemotactic protein-1 production	1
regulation of monocyte chemotactic protein-1 production	1
liver morphogenesis	1
interferon-gamma secretion	1
negative regulation of kidney development	1
negative regulation of release of cytochrome c from mitochondria	1
positive regulation of calcium ion import	1
cellular response to thyroid hormone stimulus	1
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	1
magnesium ion transmembrane transport	1
positive regulation of stem cell differentiation	1
cytokine secretion involved in immune response	1
pyrimidine nucleobase metabolic process	1
glycosylceramide metabolic process	1
blastoderm segmentation	1
negative regulation of platelet activation	1
negative regulation of glucose transmembrane transport	1
magnesium ion transport	1
female genitalia development	1
polarized epithelial cell differentiation	1
notochord development	1
response to magnesium ion	1
mitochondrial DNA metabolic process	1
negative regulation of chemokine production	1
long-chain fatty-acyl-CoA biosynthetic process	1
CD4-positive, alpha-beta T cell cytokine production	1
regulation of translation in response to stress	1
dicarboxylic acid catabolic process	1
type B pancreatic cell proliferation	1
negative regulation of receptor-mediated endocytosis	1
paraxial mesoderm development	1
negative regulation of smooth muscle cell differentiation	1
synapse maturation	1
mammary gland epithelial cell differentiation	1
positive regulation of lymphocyte apoptotic process	1
bone maturation	1
modified amino acid transport	1
plasma membrane tubulation	1
regulation of ventricular cardiac muscle cell action potential	1
positive regulation of protein depolymerization	1
positive regulation of extracellular matrix organization	1
positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	1
natural killer cell differentiation	1
chronic inflammatory response	1
regulation of B cell apoptotic process	1
regulation of translational fidelity	1
water transport	1
pinocytosis	1
mating behavior	1
copulation	1
pyrimidine nucleoside triphosphate biosynthetic process	1
detection of temperature stimulus	1
mRNA modification	1
platelet formation	1
positive regulation of cGMP biosynthetic process	1
positive regulation of chondrocyte differentiation	1
negative regulation of interleukin-2 production	1
regulation of protein import into nucleus, translocation	1
integrin activation	1
response to muscle stretch	1
RIG-I signaling pathway	1
tumor necrosis factor biosynthetic process	1
regulation of tumor necrosis factor biosynthetic process	1
histone H4-K16 acetylation	1
mRNA cis splicing, via spliceosome	1
negative regulation of viral entry into host cell	1
mammary gland alveolus development	1
establishment of monopolar cell polarity	1
mammary gland lobule development	1
negative regulation of biomineral tissue development	1
histone H3-K27 methylation	1
vocalization behavior	1
cell proliferation involved in kidney development	1
presynapse assembly	1
regulation of tumor necrosis factor secretion	1
positive regulation of endothelial cell apoptotic process	1
cartilage condensation	1
positive regulation of neuroblast proliferation	1
lens morphogenesis in camera-type eye	1
DNA strand elongation involved in DNA replication	1
apoptotic DNA fragmentation	1
N-glycan processing	1
copper ion transport	1
inflammatory cell apoptotic process	1
pyrimidine deoxyribonucleotide metabolic process	1
cerebellar cortex formation	1
positive regulation of toll-like receptor signaling pathway	1
calcium-mediated signaling using intracellular calcium source	1
platelet morphogenesis	1
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	1
error-prone translesion synthesis	1
positive regulation of protein export from nucleus	1
chaperone-mediated protein complex assembly	1
regulation of hair follicle development	1
Sertoli cell differentiation	1
mesenchymal to epithelial transition	1
regulation of necroptotic process	1
labyrinthine layer blood vessel development	1
establishment or maintenance of monopolar cell polarity	1
basement membrane organization	1
metanephric nephron tubule development	1
atrial cardiac muscle cell action potential	1
atrial cardiac muscle cell to AV node cell signaling	1
atrial cardiac muscle cell to AV node cell communication	1
positive regulation of signal transduction by p53 class mediator	1
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator	1
positive regulation of vascular endothelial cell proliferation	1
retrograde transport, endosome to plasma membrane	1
tumor necrosis factor secretion	1
regulation of mesoderm development	1
negative regulation of stem cell differentiation	1
regulation of skeletal muscle cell differentiation	1
response to dietary excess	1
regulation of inflammatory response to antigenic stimulus	1
phosphate ion transport	1
aromatic amino acid family catabolic process	1
negative regulation of tumor necrosis factor-mediated signaling pathway	1
norepinephrine transport	1
positive regulation of cGMP metabolic process	1
positive regulation of cyclase activity	1
regulation of interleukin-13 production	1
cellular response to platelet-derived growth factor stimulus	1
negative regulation of fibroblast growth factor receptor signaling pathway	1
regulation of protein homodimerization activity	1
tongue development	1
positive regulation of cAMP-mediated signaling	1
behavioral response to cocaine	1
sympathetic nervous system development	1
sensory perception of temperature stimulus	1
left/right pattern formation	1
cell aggregation	1
positive regulation of alcohol biosynthetic process	1
regulation of cell maturation	1
negative regulation of peptidyl-lysine acetylation	1
regulation of T-helper 1 type immune response	1
regulation of sister chromatid cohesion	1
cerebral cortex neuron differentiation	1
male genitalia development	1
regulation of cGMP biosynthetic process	1
response to platelet-derived growth factor	1
amino acid import	1
animal organ maturation	1
myeloid leukocyte cytokine production	1
hematopoietic stem cell proliferation	1
cellular response to pH	1
negative regulation of cardiocyte differentiation	1
negative regulation of DNA-dependent DNA replication	1
regulation of glucose import in response to insulin stimulus	1
nucleotide-excision repair, DNA damage recognition	1
regulation of T cell mediated cytotoxicity	1
regulation of T cell cytokine production	1
nucleotide-excision repair, DNA gap filling	1
sex determination	1
pyrimidine nucleoside triphosphate metabolic process	1
histone deubiquitination	1
protein hydroxylation	1
dorsal/ventral neural tube patterning	1
central nervous system projection neuron axonogenesis	1
cytokinetic process	1
interleukin-13 production	1
protein localization to Golgi apparatus	1
response to interferon-beta	1
regulation of chromatin binding	1
cellular biogenic amine catabolic process	1
regulation of respiratory gaseous exchange	1
motile cilium assembly	1
positive regulation of steroid metabolic process	1
positive regulation of calcium ion-dependent exocytosis	1
regulation of membrane protein ectodomain proteolysis	1
mitochondrial calcium ion homeostasis	1
negative regulation of amine transport	1
response to hyperoxia	1
negative regulation of cell cycle arrest	1
protein localization to chromatin	1
regulation of metanephros development	1
metanephric nephron epithelium development	1
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	1
cellular response to angiotensin	1
regulation of anoikis	1
negative regulation of double-strand break repair	1
regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	1
maturation of LSU-rRNA	1
positive regulation of receptor internalization	1
tolerance induction	1
negative regulation of cytokine production involved in immune response	1
renal system process involved in regulation of systemic arterial blood pressure	1
glycosphingolipid biosynthetic process	1
mitotic sister chromatid cohesion	1
activation of phospholipase C activity	1
toxin metabolic process	1
positive regulation of heart rate	1
positive regulation of collagen metabolic process	1
positive regulation of neurological system process	1
regulation of response to extracellular stimulus	1
regulation of response to nutrient levels	1
positive regulation of collagen biosynthetic process	1
neuron death in response to oxidative stress	1
indole-containing compound metabolic process	1
glucose import in response to insulin stimulus	1
negative regulation of glial cell differentiation	1
somatic stem cell division	1
positive regulation of focal adhesion assembly	1
positive regulation of syncytium formation by plasma membrane fusion	1
branching involved in mammary gland duct morphogenesis	1
podosome assembly	1
negative regulation of protein acetylation	1
positive regulation of interleukin-6 secretion	1
microglial cell activation	1
positive regulation of defense response to virus by host	1
NADH regeneration	1
nitric oxide mediated signal transduction	1
glucocorticoid metabolic process	1
amine catabolic process	1
positive regulation of DNA-templated transcription, elongation	1
cellular protein-containing complex localization	1
long-chain fatty-acyl-CoA metabolic process	1
cytoplasmic pattern recognition receptor signaling pathway in response to virus	1
positive regulation of CD4-positive, alpha-beta T cell differentiation	1
skeletal muscle adaptation	1
negative regulation of DNA repair	1
phosphatidylinositol dephosphorylation	1
regulation of axon regeneration	1
positive regulation of positive chemotaxis	1
innervation	1
canonical glycolysis	1
glucose catabolic process to pyruvate	1
regulation of protein exit from endoplasmic reticulum	1
negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	1
regulation of metallopeptidase activity	1
regulation of synaptic vesicle exocytosis	1
cleavage involved in rRNA processing	1
endochondral ossification	1
startle response	1
chondrocyte development	1
steroid catabolic process	1
peptidyl-arginine modification	1
regulation of rhodopsin mediated signaling pathway	1
positive regulation of blood coagulation	1
positive regulation of transforming growth factor beta receptor signaling pathway	1
positive regulation of Rho protein signal transduction	1
replacement ossification	1
response to sterol	1
fluid transport	1
cellular modified amino acid catabolic process	1
negative regulation of muscle contraction	1
regulation of long-term neuronal synaptic plasticity	1
positive regulation of mRNA processing	1
positive regulation of interleukin-1 beta secretion	1
regulation of positive chemotaxis	1
regulation of syncytium formation by plasma membrane fusion	1
morphogenesis of an epithelial fold	1
cell differentiation involved in embryonic placenta development	1
prostate gland epithelium morphogenesis	1
glycolytic process through fructose-6-phosphate	1
glycolytic process through glucose-6-phosphate	1
cell differentiation involved in metanephros development	1
positive regulation of hemostasis	1
regulation of intrinsic apoptotic signaling pathway by p53 class mediator	1
positive regulation of adherens junction organization	1
positive regulation of cellular response to transforming growth factor beta stimulus	1
response to angiotensin	1
positive regulation of vascular endothelial growth factor production	1
DNA strand elongation	1
rRNA methylation	1
inositol phosphate biosynthetic process	1
cargo loading into vesicle	1
fibrinolysis	1
negative regulation of osteoclast differentiation	1
negative regulation of heart contraction	1
carbohydrate phosphorylation	1
positive regulation of coagulation	1
regulation of glial cell proliferation	1
protein localization to centrosome	1
positive regulation of protein targeting to membrane	1
response to thyroid hormone	1
regulation of endoplasmic reticulum unfolded protein response	1
positive regulation of cardiac muscle cell differentiation	1
positive regulation of response to drug	1
DNA catabolic process, endonucleolytic	1
gastrulation with mouth forming second	1
positive regulation of acute inflammatory response	1
isoprenoid biosynthetic process	1
