Biological Process	Number of genes
positive regulation of small GTPase mediated signal transduction	2
mechanoreceptor differentiation	2
regulation of behavior	2
somatic diversification of immune receptors	2
regulation of DNA recombination	2
single strand break repair	1
protein deneddylation	1
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
luteinization	1
pro-B cell differentiation	1
positive regulation of inflammatory response to antigenic stimulus	1
positive regulation of systemic arterial blood pressure	1
mitral valve morphogenesis	1
tryptophan catabolic process	1
adenylate cyclase-activating dopamine receptor signaling pathway	1
magnesium ion homeostasis	1
regulation of translational initiation by eIF2 alpha phosphorylation	1
coenzyme A biosynthetic process	1
cerebral cortex GABAergic interneuron differentiation	1
cell proliferation in external granule layer	1
cerebellar granule cell precursor proliferation	1
production of siRNA involved in RNA interference	1
luteinizing hormone secretion	1
regulation of prostaglandin secretion	1
positive regulation of prostaglandin secretion	1
transforming growth factor beta1 production	1
regulation of transforming growth factor beta1 production	1
regulation of glucokinase activity	1
positive regulation of intracellular estrogen receptor signaling pathway	1
protein hexamerization	1
peptidyl-arginine omega-N-methylation	1
endothelial cell chemotaxis to fibroblast growth factor	1
nail development	1
calcium import into the mitochondrion	1
MDA-5 signaling pathway	1
indole-containing compound catabolic process	1
long-chain fatty acid catabolic process	1
adenosine metabolic process	1
indolalkylamine catabolic process	1
protoporphyrinogen IX metabolic process	1
inositol phosphate dephosphorylation	1
paraxial mesoderm morphogenesis	1
synaptic growth at neuromuscular junction	1
membrane raft localization	1
medium-chain fatty acid metabolic process	1
negative regulation of amino acid transport	1
dichotomous subdivision of an epithelial terminal unit	1
regulation of epithelial cell proliferation involved in prostate gland development	1
regulation of type B pancreatic cell proliferation	1
kynurenine metabolic process	1
regulation of establishment of protein localization to telomere	1
uterine smooth muscle contraction	1
negative regulation of protein exit from endoplasmic reticulum	1
interleukin-2 secretion	1
cellular response to manganese ion	1
otic vesicle morphogenesis	1
cell proliferation involved in metanephros development	1
fibroblast activation	1
dendritic cell apoptotic process	1
xenophagy	1
neurotransmitter receptor transport to postsynaptic membrane	1
regulation of adenylate cyclase-activating G-protein coupled receptor signaling pathway	1
positive regulation of response to reactive oxygen species	1
positive regulation of cell cycle checkpoint	1
establishment of protein localization to postsynaptic membrane	1
regulation of dopaminergic neuron differentiation	1
regulation of macrophage apoptotic process	1
regulation of endothelial cell chemotaxis to fibroblast growth factor	1
regulation of dendritic cell apoptotic process	1
regulation of dendritic cell differentiation	1
mitral valve development	1
chondrocyte differentiation involved in endochondral bone morphogenesis	1
lagging strand elongation	1
midgut development	1
embryonic body morphogenesis	1
positive regulation of receptor biosynthetic process	1
peptidyl-glutamic acid carboxylation	1
protein carboxylation	1
cell proliferation in hindbrain	1
optic nerve development	1
negative regulation of microtubule polymerization	1
hemidesmosome assembly	1
natural killer cell chemotaxis	1
cell chemotaxis to fibroblast growth factor	1
apical protein localization	1
regulation of MHC class II biosynthetic process	1
negative regulation of activated T cell proliferation	1
phosphorylated carbohydrate dephosphorylation	1
response to folic acid	1
killing by host of symbiont cells	1
regulation of gastric acid secretion	1
positive regulation of myeloid leukocyte cytokine production involved in immune response	1
neuron cellular homeostasis	1
regulation of establishment of protein localization to chromosome	1
mucus secretion	1
UV-damage excision repair	1
cellular response to acidic pH	1
cellular hyperosmotic response	1
positive regulation of monocyte chemotactic protein-1 production	1
positive regulation of podosome assembly	1
protein localization to cell cortex	1
mRNA methylation	1
AV node cell action potential	1
AV node cell to bundle of His cell signaling	1
primitive streak formation	1
regulation of synapse maturation	1
Golgi ribbon formation	1
neurotransmitter receptor transport to plasma membrane	1
regulation of phosphorylation of RNA polymerase II C-terminal domain	1
negative regulation of pri-miRNA transcription by RNA polymerase II	1
regulation of hexokinase activity	1
positive regulation of protein localization to chromosome, telomeric region	1
regulation of cell chemotaxis to fibroblast growth factor	1
regulation of RNA binding	1
protein localization to nucleoplasm	1
regulation of microtubule motor activity	1
regulation of type B pancreatic cell apoptotic process	1
positive regulation of autophagosome assembly	1
spliceosomal tri-snRNP complex assembly	1
mast cell chemotaxis	1
regulation of acute inflammatory response to antigenic stimulus	1
L-serine metabolic process	1
tryptophan metabolic process	1
adenylate cyclase-inhibiting dopamine receptor signaling pathway	1
opsonization	1
2'-deoxyribonucleotide biosynthetic process	1
response to herbicide	1
regulation of plasminogen activation	1
regulation of macrophage cytokine production	1
neural crest formation	1
positive regulation of protein import into nucleus, translocation	1
mitochondrial protein processing	1
sperm chromatin condensation	1
angiotensin-activated signaling pathway	1
negative regulation of vascular permeability	1
response to leucine	1
positive regulation of vacuole organization	1
MHC class II biosynthetic process	1
positive regulation of regulatory T cell differentiation	1
negative regulation of action potential	1
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly	1
deoxyribose phosphate biosynthetic process	1
S-adenosylmethionine metabolic process	1
astrocyte activation	1
negative regulation of interleukin-1 beta secretion	1
DNA ligation involved in DNA repair	1
maintenance of organelle location	1
response to redox state	1
positive regulation of hair follicle development	1
L-glutamate import	1
embryonic skeletal joint morphogenesis	1
regulation of ER to Golgi vesicle-mediated transport	1
branching involved in labyrinthine layer morphogenesis	1
trophoblast giant cell differentiation	1
prostate gland growth	1
negative regulation of gene silencing by miRNA	1
trophoblast cell migration	1
leukocyte aggregation	1
centromeric sister chromatid cohesion	1
skeletal muscle acetylcholine-gated channel clustering	1
inositol phosphate catabolic process	1
macrophage apoptotic process	1
distal tubule development	1
T-helper 17 cell lineage commitment	1
AV node cell to bundle of His cell communication	1
regulation of protein deubiquitination	1
negative regulation of transcription from RNA polymerase II promoter in response to stress	1
regulation of NLRP3 inflammasome complex assembly	1
regulation of trophoblast cell migration	1
positive regulation of tumor necrosis factor secretion	1
suckling behavior	1
negative regulation of B cell apoptotic process	1
mesenchymal to epithelial transition involved in metanephros morphogenesis	1
glycine metabolic process	1
estrogen biosynthetic process	1
vitamin catabolic process	1
regulation of skeletal muscle contraction	1
cerebellar granular layer development	1
cerebellar Purkinje cell layer morphogenesis	1
cellular anion homeostasis	1
pancreatic juice secretion	1
cellular monovalent inorganic anion homeostasis	1
positive regulation of actin filament depolymerization	1
positive regulation of myelination	1
positive regulation of synaptic transmission, GABAergic	1
prostaglandin secretion	1
positive regulation of granulocyte macrophage colony-stimulating factor production	1
positive regulation of interleukin-17 production	1
negative regulation of DNA-templated transcription, elongation	1
regulation of histone phosphorylation	1
stress granule assembly	1
low-density lipoprotein particle remodeling	1
histone arginine methylation	1
Notch receptor processing, ligand-dependent	1
positive regulation of chromatin binding	1
locomotory exploration behavior	1
positive regulation of urine volume	1
alpha-linolenic acid metabolic process	1
norepinephrine metabolic process	1
retinal metabolic process	1
positive regulation of hair cycle	1
proteasome assembly	1
histone H3-K9 acetylation	1
NLRP3 inflammasome complex assembly	1
establishment of epithelial cell apical/basal polarity	1
positive regulation of B cell differentiation	1
negative regulation of epidermal cell differentiation	1
positive regulation of macrophage differentiation	1
negative regulation of skeletal muscle tissue development	1
cardiac muscle fiber development	1
disruption by host of symbiont cells	1
membrane hyperpolarization	1
regulation of growth hormone secretion	1
prepulse inhibition	1
positive regulation of glial cell proliferation	1
intestinal epithelial cell development	1
eyelid development in camera-type eye	1
striated muscle myosin thick filament assembly	1
cellular response to epinephrine stimulus	1
cargo loading into COPII-coated vesicle	1
GABAergic neuron differentiation	1
activation of cysteine-type endopeptidase activity	1
mast cell migration	1
negative regulation of cytokine production involved in inflammatory response	1
negative regulation of substrate adhesion-dependent cell spreading	1
regulation of transcription from RNA polymerase II promoter involved in heart development	1
regulation of hydrogen peroxide-mediated programmed cell death	1
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1
regulation of protein localization to chromosome, telomeric region	1
negative regulation of protein localization to cell surface	1
positive regulation of protein localization to cell surface	1
regulation of female gonad development	1
regulation of hepatocyte proliferation	1
positive regulation of endothelial cell chemotaxis	1
regulation of integrin-mediated signaling pathway	1
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
acrosome assembly	1
neutrophil homeostasis	1
positive regulation of T cell cytokine production	1
heart valve formation	1
mitochondrial transcription	1
complement activation, alternative pathway	1
negative regulation of keratinocyte proliferation	1
positive regulation of steroid biosynthetic process	1
macrophage cytokine production	1
male sex determination	1
intestinal cholesterol absorption	1
establishment or maintenance of actin cytoskeleton polarity	1
myosin filament assembly	1
negative regulation of response to extracellular stimulus	1
negative regulation of response to nutrient levels	1
negative regulation of interferon-beta production	1
glial cell apoptotic process	1
CD8-positive, alpha-beta T cell activation	1
neuronal stem cell division	1
regulation of secondary metabolic process	1
negative regulation of glucose import	1
positive regulation of astrocyte differentiation	1
induction of positive chemotaxis	1
Golgi localization	1
neuroblast division	1
Sertoli cell development	1
regulation of protein glycosylation	1
spongiotrophoblast layer development	1
positive regulation of T cell apoptotic process	1
positive regulation of metanephros development	1
signal transduction involved in G2 DNA damage checkpoint	1
regulation of sphingolipid biosynthetic process	1
positive regulation of endoplasmic reticulum unfolded protein response	1
regulation of IRE1-mediated unfolded protein response	1
regulation of membrane lipid metabolic process	1
positive regulation of metallopeptidase activity	1
regulation of ceramide biosynthetic process	1
endonucleolytic cleavage involved in rRNA processing	1
positive regulation of T cell mediated cytotoxicity	1
lymphangiogenesis	1
T-helper cell lineage commitment	1
germinal center formation	1
regulation of cytokine secretion involved in immune response	1
positive regulation of T-helper 1 type immune response	1
positive regulation of type 2 immune response	1
positive regulation of humoral immune response	1
mitochondrial electron transport, ubiquinol to cytochrome c	1
serotonin transport	1
tripartite regional subdivision	1
anterior/posterior axis specification, embryo	1
coenzyme catabolic process	1
deoxyribonucleotide biosynthetic process	1
hydrogen peroxide-mediated programmed cell death	1
regulation of skeletal muscle adaptation	1
coenzyme A metabolic process	1
protein-chromophore linkage	1
myosin filament organization	1
gonadotropin secretion	1
regulation of granulocyte macrophage colony-stimulating factor production	1
positive regulation of interleukin-13 production	1
fatty acid beta-oxidation using acyl-CoA oxidase	1
protein folding in endoplasmic reticulum	1
cellular response to interferon-beta	1
cell migration involved in gastrulation	1
histone H4-K5 acetylation	1
histone H4-K8 acetylation	1
positive regulation of keratinocyte differentiation	1
regulation of RNA polymerase II transcriptional preinitiation complex assembly	1
regulation of short-term neuronal synaptic plasticity	1
negative regulation of interleukin-1 secretion	1
negative regulation of dendrite morphogenesis	1
positive regulation of membrane protein ectodomain proteolysis	1
keratinocyte migration	1
killing of cells in other organism involved in symbiotic interaction	1
regulation of transmission of nerve impulse	1
inhibitory postsynaptic potential	1
negative regulation of posttranscriptional gene silencing	1
negative regulation of gene silencing by RNA	1
establishment of protein localization to telomere	1
cellular response to exogenous dsRNA	1
regulation of podosome assembly	1
embryonic skeletal joint development	1
programmed cell death in response to reactive oxygen species	1
intestinal lipid absorption	1
regulation of extracellular matrix assembly	1
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1
positive regulation of viral release from host cell	1
positive regulation of voltage-gated potassium channel activity	1
positive regulation of telomerase RNA localization to Cajal body	1
positive regulation of neuron migration	1
negative regulation of leukocyte chemotaxis	1
ubiquinone biosynthetic process	1
mitotic centrosome separation	1
parturition	1
regulation of norepinephrine secretion	1
prostaglandin transport	1
hyaluronan catabolic process	1
growth hormone secretion	1
negative regulation of B cell proliferation	1
intra-S DNA damage checkpoint	1
synaptic vesicle fusion to presynaptic active zone membrane	1
positive regulation of nuclease activity	1
regulation of synaptic transmission, dopaminergic	1
granulocyte macrophage colony-stimulating factor production	1
negative regulation of interleukin-12 production	1
positive regulation of CREB transcription factor activity	1
negative regulation of myeloid cell apoptotic process	1
positive regulation of intracellular steroid hormone receptor signaling pathway	1
nucleoside bisphosphate biosynthetic process	1
ribonucleoside bisphosphate biosynthetic process	1
purine nucleoside bisphosphate biosynthetic process	1
protein O-linked fucosylation	1
CD4-positive, alpha-beta T cell lineage commitment	1
negative regulation of JUN kinase activity	1
nose development	1
ossification involved in bone maturation	1
negative regulation of nitric oxide biosynthetic process	1
transcytosis	1
mitochondrion distribution	1
regulation of retinoic acid receptor signaling pathway	1
lymph node development	1
negative regulation of meiotic cell cycle	1
negative regulation of lipase activity	1
venous blood vessel development	1
heterochromatin organization	1
regulation of phospholipid biosynthetic process	1
cellular response to arsenic-containing substance	1
response to epinephrine	1
metanephric renal vesicle morphogenesis	1
hepatocyte proliferation	1
epithelial cell proliferation involved in liver morphogenesis	1
vesicle fusion to plasma membrane	1
positive regulation of cytokine production involved in inflammatory response	1
quinone biosynthetic process	1
negative regulation of nitric oxide metabolic process	1
negative regulation of anoikis	1
gastric acid secretion	1
regulation of antigen processing and presentation	1
indolalkylamine metabolic process	1
ubiquinone metabolic process	1
Notch receptor processing	1
grooming behavior	1
serine family amino acid biosynthetic process	1
deoxyribonucleoside triphosphate metabolic process	1
response to manganese ion	1
response to insecticide	1
negative regulation of bone mineralization	1
negative regulation of protein oligomerization	1
negative regulation of interleukin-8 production	1
positive regulation of cell adhesion mediated by integrin	1
regulation of toll-like receptor 4 signaling pathway	1
negative regulation of histone acetylation	1
establishment of apical/basal cell polarity	1
inner dynein arm assembly	1
cellular response to sterol	1
post-anal tail morphogenesis	1
regulation of RIG-I signaling pathway	1
lipid digestion	1
negative regulation of epidermis development	1
positive regulation of mRNA splicing, via spliceosome	1
norepinephrine secretion	1
centrosome separation	1
disruption of cells of other organism involved in symbiotic interaction	1
relaxation of cardiac muscle	1
cilium movement involved in cell motility	1
morphogenesis of an epithelial bud	1
coronary vasculature morphogenesis	1
phosphorylation of RNA polymerase II C-terminal domain	1
3'-UTR-mediated mRNA stabilization	1
monocyte chemotactic protein-1 production	1
regulation of monocyte chemotactic protein-1 production	1
liver morphogenesis	1
negative regulation of kidney development	1
negative regulation of release of cytochrome c from mitochondria	1
positive regulation of calcium ion import	1
cellular response to thyroid hormone stimulus	1
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	1
magnesium ion transmembrane transport	1
regulation of DNA damage checkpoint	1
positive regulation of stem cell differentiation	1
lymphoid progenitor cell differentiation	1
alpha-beta T cell lineage commitment	1
cytokine secretion involved in immune response	1
glycosylceramide metabolic process	1
activation of NF-kappaB-inducing kinase activity	1
blastoderm segmentation	1
response to UV-B	1
negative regulation of platelet activation	1
positive regulation of lamellipodium assembly	1
negative regulation of glucose transmembrane transport	1
magnesium ion transport	1
female genitalia development	1
polarized epithelial cell differentiation	1
notochord development	1
establishment or maintenance of cytoskeleton polarity	1
response to magnesium ion	1
negative regulation of chemokine production	1
regulation of mammary gland epithelial cell proliferation	1
long-chain fatty-acyl-CoA biosynthetic process	1
lymph vessel morphogenesis	1
negative regulation of megakaryocyte differentiation	1
regulation of monocyte differentiation	1
negative regulation of receptor-mediated endocytosis	1
paraxial mesoderm development	1
negative regulation of smooth muscle cell differentiation	1
synapse maturation	1
positive regulation of lymphocyte apoptotic process	1
bone maturation	1
modified amino acid transport	1
plasma membrane tubulation	1
regulation of ventricular cardiac muscle cell action potential	1
positive regulation of protein depolymerization	1
positive regulation of extracellular matrix organization	1
negative regulation of oxidative stress-induced neuron death	1
regulation of telomerase RNA localization to Cajal body	1
negative regulation of cardiac muscle cell differentiation	1
positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	1
ribosomal small subunit assembly	1
natural killer cell differentiation	1
chronic inflammatory response	1
regulation of B cell apoptotic process	1
nucleosome disassembly	1
regulation of translational fidelity	1
water transport	1
pinocytosis	1
pyrimidine nucleoside triphosphate biosynthetic process	1
positive regulation of glycoprotein biosynthetic process	1
mRNA modification	1
cell differentiation in hindbrain	1
positive regulation of cGMP biosynthetic process	1
negative regulation of interleukin-2 production	1
regulation of protein import into nucleus, translocation	1
integrin activation	1
response to muscle stretch	1
RIG-I signaling pathway	1
regulation of dopamine metabolic process	1
regulation of catecholamine metabolic process	1
histone H4-K16 acetylation	1
regulation of circadian sleep/wake cycle, sleep	1
negative regulation of nucleocytoplasmic transport	1
negative regulation of mRNA splicing, via spliceosome	1
establishment of monopolar cell polarity	1
negative regulation of biomineral tissue development	1
vocalization behavior	1
cell proliferation involved in kidney development	1
RNA localization to Cajal body	1
telomerase RNA localization to Cajal body	1
telomerase RNA localization	1
RNA localization to nucleus	1
response to salt	1
exosomal secretion	1
positive regulation of endothelial cell apoptotic process	1
positive regulation of neuroblast proliferation	1
DNA strand elongation involved in DNA replication	1
apoptotic DNA fragmentation	1
N-glycan processing	1
copper ion transport	1
pyrimidine deoxyribonucleotide metabolic process	1
regulation of receptor biosynthetic process	1
cerebellar cortex formation	1
adrenal gland development	1
negative regulation of interleukin-1 beta production	1
cytoplasmic mRNA processing body assembly	1
calcium-mediated signaling using intracellular calcium source	1
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	1
error-prone translesion synthesis	1
defense response to protozoan	1
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	1
regulation of macrophage differentiation	1
positive regulation of protein export from nucleus	1
chaperone-mediated protein complex assembly	1
regulation of hair follicle development	1
Sertoli cell differentiation	1
labyrinthine layer blood vessel development	1
establishment or maintenance of monopolar cell polarity	1
basement membrane organization	1
T-helper 17 cell differentiation	1
atrial cardiac muscle cell action potential	1
atrial cardiac muscle cell to AV node cell signaling	1
atrial cardiac muscle cell to AV node cell communication	1
extracellular exosome biogenesis	1
positive regulation of signal transduction by p53 class mediator	1
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator	1
positive regulation of vascular endothelial cell proliferation	1
regulation of skeletal muscle cell differentiation	1
response to protozoan	1
response to dietary excess	1
regulation of inflammatory response to antigenic stimulus	1
atrioventricular valve morphogenesis	1
nucleotide-excision repair, preincision complex stabilization	1
nucleotide-excision repair, DNA incision, 3'-to lesion	1
phosphate ion transport	1
aromatic amino acid family catabolic process	1
branched-chain amino acid catabolic process	1
catechol-containing compound biosynthetic process	1
negative regulation of tumor necrosis factor-mediated signaling pathway	1
norepinephrine transport	1
positive regulation of cyclase activity	1
chromatin disassembly	1
protein-DNA complex disassembly	1
embryonic hemopoiesis	1
cellular response to platelet-derived growth factor stimulus	1
PERK-mediated unfolded protein response	1
negative regulation of fibroblast growth factor receptor signaling pathway	1
catecholamine biosynthetic process	1
regulation of circadian sleep/wake cycle	1
regulation of protein homodimerization activity	1
behavioral response to cocaine	1
regulation of B cell receptor signaling pathway	1
positive regulation of antigen receptor-mediated signaling pathway	1
left/right pattern formation	1
positive regulation of alcohol biosynthetic process	1
negative regulation of peptidyl-lysine acetylation	1
regulation of T-helper 1 type immune response	1
response to lithium ion	1
response to acidic pH	1
positive regulation of lipid storage	1
male genitalia development	1
regulation of cGMP biosynthetic process	1
regulation of mRNA 3'-end processing	1
response to platelet-derived growth factor	1
amino acid import	1
animal organ maturation	1
positive regulation of lipid catabolic process	1
myeloid leukocyte cytokine production	1
hematopoietic stem cell proliferation	1
T-helper 17 type immune response	1
extracellular vesicle biogenesis	1
negative regulation of DNA-dependent DNA replication	1
regulation of glucose import in response to insulin stimulus	1
regulation of T cell mediated cytotoxicity	1
nucleotide-excision repair, DNA gap filling	1
mitotic G2 DNA damage checkpoint	1
estrogen metabolic process	1
pyrimidine nucleoside triphosphate metabolic process	1
histone deubiquitination	1
protein hydroxylation	1
cerebellar Purkinje cell layer development	1
regulation of interleukin-17 production	1
protein localization to Golgi apparatus	1
response to interferon-beta	1
regulation of chromatin binding	1
cellular biogenic amine catabolic process	1
positive regulation of epidermal cell differentiation	1
positive regulation of steroid metabolic process	1
positive regulation of calcium ion-dependent exocytosis	1
circadian sleep/wake cycle, sleep	1
regulation of membrane protein ectodomain proteolysis	1
maintenance of protein location in nucleus	1
negative regulation of amine transport	1
regulation of metanephros development	1
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	1
positive regulation of glycoprotein metabolic process	1
regulation of anoikis	1
regulation of myoblast proliferation	1
negative regulation of double-strand break repair	1
regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	1
maturation of LSU-rRNA	1
lymph vessel development	1
positive regulation of receptor internalization	1
tolerance induction	1
atrioventricular valve development	1
glycosphingolipid biosynthetic process	1
activation of phospholipase C activity	1
branched-chain amino acid metabolic process	1
positive regulation of heart rate	1
response to auditory stimulus	1
membrane protein intracellular domain proteolysis	1
regulation of response to extracellular stimulus	1
regulation of response to nutrient levels	1
receptor biosynthetic process	1
negative regulation of RNA splicing	1
indole-containing compound metabolic process	1
glucose import in response to insulin stimulus	1
positive regulation of focal adhesion assembly	1
positive regulation of syncytium formation by plasma membrane fusion	1
branching involved in mammary gland duct morphogenesis	1
podosome assembly	1
positive regulation of potassium ion transmembrane transporter activity	1
negative regulation of protein acetylation	1
regulation of cytoplasmic translation	1
positive regulation of interleukin-6 secretion	1
NADH regeneration	1
nitric oxide mediated signal transduction	1
amine catabolic process	1
heparan sulfate proteoglycan biosynthetic process	1
circadian sleep/wake cycle process	1
positive regulation of DNA-templated transcription, elongation	1
cellular protein-containing complex localization	1
long-chain fatty-acyl-CoA metabolic process	1
cytoplasmic pattern recognition receptor signaling pathway in response to virus	1
positive regulation of CD4-positive, alpha-beta T cell differentiation	1
regulation of DNA methylation	1
negative regulation of DNA repair	1
phosphatidylinositol dephosphorylation	1
regulation of axon regeneration	1
positive regulation of positive chemotaxis	1
response to lipoprotein particle	1
canonical glycolysis	1
glucose catabolic process to pyruvate	1
regulation of protein exit from endoplasmic reticulum	1
positive regulation of protein maturation	1
negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	1
cellular response to amyloid-beta	1
regulation of metallopeptidase activity	1
regulation of synaptic vesicle exocytosis	1
cleavage involved in rRNA processing	1
chondrocyte development	1
T cell lineage commitment	1
myelination in peripheral nervous system	1
positive regulation of transforming growth factor beta receptor signaling pathway	1
peripheral nervous system axon ensheathment	1
interleukin-17 production	1
negative regulation of interleukin-1 production	1
positive regulation of Rho protein signal transduction	1
response to sterol	1
fluid transport	1
cellular modified amino acid catabolic process	1
positive regulation of interleukin-1 beta secretion	1
regulation of positive chemotaxis	1
regulation of syncytium formation by plasma membrane fusion	1
morphogenesis of an epithelial fold	1
glycolytic process through fructose-6-phosphate	1
glycolytic process through glucose-6-phosphate	1
positive regulation of p38MAPK cascade	1
regulation of intrinsic apoptotic signaling pathway by p53 class mediator	1
positive regulation of lamellipodium organization	1
positive regulation of adherens junction organization	1
positive regulation of cellular response to transforming growth factor beta stimulus	1
positive regulation of vascular endothelial growth factor production	1
DNA strand elongation	1
rRNA methylation	1
inositol phosphate biosynthetic process	1
ncRNA catabolic process	1
cargo loading into vesicle	1
circadian sleep/wake cycle	1
negative regulation of osteoclast differentiation	1
carbohydrate phosphorylation	1
sperm capacitation	1
myoblast proliferation	1
cellular response to lipoprotein particle stimulus	1
positive regulation of protein targeting to membrane	1
phagosome acidification	1
response to thyroid hormone	1
regulation of endoplasmic reticulum unfolded protein response	1
positive regulation of cardiac muscle cell differentiation	1
DNA catabolic process, endonucleolytic	1
positive regulation of acute inflammatory response	1
mRNA splice site selection	1
isoprenoid biosynthetic process	1
protein-lipid complex remodeling	1
plasma lipoprotein particle remodeling	1
fucosylation	1
regulation of hair cycle	1
regulation of astrocyte differentiation	1
membrane assembly	1
establishment of epithelial cell polarity	1
regulation of synaptic vesicle transport	1
positive regulation of leukocyte apoptotic process	1
B cell homeostasis	1
negative regulation of adenylate cyclase activity	1
protein kinase C-activating G-protein coupled receptor signaling pathway	1
aromatic amino acid family metabolic process	1
Schwann cell development	1
apoptotic nuclear changes	1
positive regulation of interleukin-2 production	1
protein-containing complex remodeling	1
TRIF-dependent toll-like receptor signaling pathway	1
positive regulation of insulin secretion involved in cellular response to glucose stimulus	1
regulation of meiotic nuclear division	1
negative regulation of mRNA processing	1
regulation of amino acid transport	1
protein homotrimerization	1
multivesicular body sorting pathway	1
T cell mediated cytotoxicity	1
epithelial cell morphogenesis	1
tricarboxylic acid cycle	1
negative regulation of cAMP biosynthetic process	1
granulocyte differentiation	1
regulation of nuclease activity	1
negative regulation of proteasomal ubiquitin-dependent protein catabolic process	1
multivesicular body assembly	1
retinol metabolic process	1
response to arsenic-containing substance	1
retinoic acid receptor signaling pathway	1
chondroitin sulfate proteoglycan biosynthetic process	1
positive regulation of interleukin-1 secretion	1
face morphogenesis	1
protein K63-linked deubiquitination	1
protein K48-linked deubiquitination	1
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	1
glucose catabolic process	1
termination of RNA polymerase I transcription	1
leukotriene metabolic process	1
cellular component disassembly involved in execution phase of apoptosis	1
mitotic spindle assembly checkpoint	1
2'-deoxyribonucleotide metabolic process	1
heparan sulfate proteoglycan metabolic process	1
negative regulation of cyclase activity	1
secretory granule organization	1
multivesicular body organization	1
positive T cell selection	1
mitotic G2/M transition checkpoint	1
negative regulation of cyclin-dependent protein serine/threonine kinase activity	1
negative regulation of B cell activation	1
cilium-dependent cell motility	1
negative regulation of lymphocyte apoptotic process	1
spindle assembly checkpoint	1
mitotic spindle checkpoint	1
positive regulation of cell junction assembly	1
regulation of viral release from host cell	1
cilium or flagellum-dependent cell motility	1
regulation of transcription by RNA polymerase I	1
regulation of platelet activation	1
regulation of vascular endothelial growth factor production	1
negative regulation of cyclic nucleotide biosynthetic process	1
regulation of synaptic transmission, GABAergic	1
eating behavior	1
anoikis	1
negative regulation of mitotic metaphase/anaphase transition	1
mammary gland duct morphogenesis	1
relaxation of muscle	1
regulation of pri-miRNA transcription by RNA polymerase II	1
positive regulation of signaling receptor activity	1
branching involved in blood vessel morphogenesis	1
receptor recycling	1
synaptic transmission, dopaminergic	1
pyrimidine nucleotide biosynthetic process	1
deoxyribose phosphate metabolic process	1
positive regulation of BMP signaling pathway	1
Golgi to plasma membrane protein transport	1
exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	1
membrane biogenesis	1
negative regulation of lyase activity	1
cellular response to dexamethasone stimulus	1
regulation of protein targeting to membrane	1
regulation of cell cycle checkpoint	1
negative regulation of metaphase/anaphase transition of cell cycle	1
apoptotic process involved in development	1
regulation of extracellular matrix organization	1
negative regulation of cyclin-dependent protein kinase activity	1
maturation of 5.8S rRNA	1
citrate metabolic process	1
vascular endothelial growth factor production	1
negative regulation of cAMP metabolic process	1
spindle checkpoint	1
activation of protein kinase B activity	1
positive regulation of protein complex disassembly	1
positive regulation of smooth muscle contraction	1
regulation of T cell apoptotic process	1
axonemal dynein complex assembly	1
liver regeneration	1
positive regulation of substrate adhesion-dependent cell spreading	1
negative regulation of cellular response to insulin stimulus	1
regulation of hydrogen peroxide-induced cell death	1
negative regulation of response to drug	1
nuclear-transcribed mRNA catabolic process, exonucleolytic	1
bile acid biosynthetic process	1
deoxyribonucleotide metabolic process	1
response to X-ray	1
viral release from host cell	1
negative regulation of lipid transport	1
endocytic recycling	1
exit from host	1
exit from host cell	1
regulation of fibroblast growth factor receptor signaling pathway	1
negative regulation of JNK cascade	1
intestinal absorption	1
RNA polymerase II transcriptional preinitiation complex assembly	1
movement in host environment	1
movement in environment of other organism involved in symbiotic interaction	1
ventricular cardiac muscle cell action potential	1
positive regulation of potassium ion transmembrane transport	1
positive regulation of vascular smooth muscle cell proliferation	1
regulation of actin cytoskeleton reorganization	1
negative regulation of mitotic sister chromatid separation	1
embryonic axis specification	1
postsynaptic membrane organization	1
acetyl-CoA metabolic process	1
mismatch repair	1
activation of JUN kinase activity	1
triglyceride biosynthetic process	1
negative regulation of cyclic nucleotide metabolic process	1
cell death in response to hydrogen peroxide	1
response to interleukin-6	1
regulation of heart rate by cardiac conduction	1
negative regulation of chromosome separation	1
negative regulation of DNA biosynthetic process	1
positive regulation of leukocyte mediated cytotoxicity	1
nucleotide-excision repair, DNA incision, 5'-to lesion	1
DNA catabolic process	1
